ID,Atlanta Hawks,Brooklyn Nets,Boston Celtics,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Detroit Pistons,Golden State Warriors,Houston Rockets,Indiana Pacers,LA Clippers,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,New Orleans Pelicans,New York Knicks,Oklahoma City Thunder,Orlando Magic,Philadelphia 76ers,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,Toronto Raptors,Utah Jazz,Washington Wizards,Profile
Atlanta Hawks,2,3,2,2,2,2,3,2,2,2,2,3,2,2,3,2,2,2,3,2,1,2,2,2,2,3,1,2,3,3,0
Brooklyn Nets,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,0
Boston Celtics,2,3,3,2,3,2,3,2,2,2,2,3,2,2,3,2,3,2,3,2,2,2,2,2,3,3,2,2,3,3,0
Charlotte Hornets,2,3,2,2,2,2,3,2,1,2,2,3,2,2,3,2,2,2,3,2,1,2,2,2,2,3,1,2,3,3,0
Chicago Bulls,2,3,1,2,1,1,2,1,1,2,1,3,2,1,2,2,2,1,2,1,1,2,2,1,2,3,1,2,2,3,0
Cleveland Cavaliers,2,3,2,2,3,3,3,2,2,2,2,3,2,2,3,2,3,2,3,2,2,2,2,2,2,3,2,2,3,3,0
Dallas Mavericks,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,2,2,0
Denver Nuggets,2,3,2,2,3,2,3,3,2,2,2,3,2,2,3,2,3,2,3,2,2,2,2,2,2,3,2,2,3,3,0
Detroit Pistons,2,3,2,3,3,2,3,2,3,3,2,4,3,2,3,2,3,2,3,2,2,2,2,2,3,4,2,2,3,3,0
Golden State Warriors,2,3,2,2,2,2,3,2,1,2,2,3,2,2,2,2,2,2,3,2,1,2,2,2,2,3,1,2,3,3,0
Houston Rockets,2,3,2,2,3,2,3,2,2,2,3,3,2,2,3,2,3,2,3,2,2,2,2,2,2,3,2,2,3,3,0
Indiana Pacers,1,2,1,1,1,1,2,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,2,0,1,2,2,0
LA Clippers,2,3,2,2,2,2,3,2,1,2,2,3,2,2,3,2,2,2,3,2,1,2,2,2,2,3,1,2,3,3,0
Los Angeles Lakers,2,3,2,2,3,2,3,2,2,2,2,3,2,3,3,2,3,2,3,2,2,2,2,2,2,3,2,2,3,3,0
Memphis Grizzlies,1,2,1,1,2,1,2,1,1,2,1,3,1,1,1,1,2,1,2,1,1,1,1,1,2,3,1,1,2,3,0
Miami Heat,2,3,2,2,2,2,3,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2,3,2,2,3,3,1
Milwaukee Bucks,2,3,1,2,2,1,2,1,1,2,1,3,2,1,2,2,2,1,2,1,1,2,2,2,2,3,1,2,2,3,1
Minnesota Timberwolves,2,3,2,2,3,2,3,2,2,2,2,3,2,2,3,2,3,3,3,2,2,2,2,2,2,3,2,2,3,3,1
New Orleans Pelicans,1,2,1,1,2,1,2,1,1,1,1,3,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1
New York Knicks,2,3,2,2,3,2,3,2,2,2,2,3,2,2,3,2,3,2,3,3,2,2,2,2,2,3,2,2,3,3,1
Oklahoma City Thunder,3,3,2,3,3,2,3,2,2,3,2,4,3,2,3,2,3,2,3,2,4,2,3,2,3,4,2,2,3,4,1
Orlando Magic,2,3,2,2,2,2,3,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2,3,2,2,3,3,1
Philadelphia 76ers,2,3,2,2,2,2,3,2,2,2,2,3,2,2,3,2,2,2,3,2,1,2,2,2,2,3,2,2,3,3,1
Phoenix Suns,2,3,2,2,3,2,3,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,3,2,3,2,2,3,3,1
Portland Trail Blazers,2,3,1,2,2,2,3,2,1,2,2,3,2,2,2,2,2,2,3,2,1,2,2,2,2,3,1,2,3,3,1
Sacramento Kings,1,2,1,1,1,1,2,1,0,1,1,2,1,1,1,1,1,1,2,1,0,1,1,1,1,0,0,1,2,2,1
San Antonio Spurs,3,3,2,3,3,2,3,2,2,3,2,4,3,2,3,2,3,2,3,2,2,2,2,2,3,4,3,2,3,3,1
Toronto Raptors,2,3,2,2,2,2,3,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2,3,2,2,3,3,1
Utah Jazz,1,2,1,1,2,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1
Washington Wizards,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,0,1,1,1,1,2,1,1,2,1,1
