ID,CICARE,SDM,Fmlybnft,Profile
A001,3,3,3,0
A002,3,3,5,0
A003,3,3,3,0
A004,5,5,5,0
A005,3,5,5,0
A006,4,4,4,0
A007,4,4,4,0
A008,3,4,4,0
A009,4,4,4,0
A010,4,4,4,0
A011,5,5,5,0
A012,4,4,4,0
A013,4,4,4,1
A014,5,5,5,0
A015,0,4,4,0
A016,5,5,5,0
A017,3,3,3,0
A018,3,5,5,0
A019,5,5,5,0
A020,4,4,4,1
A021,4,4,4,0
A022,4,4,4,0
A023,4,4,4,0
A024,4,4,4,0
A025,5,5,5,0
A026,4,4,5,0
A027,5,5,5,1
A028,5,5,5,0
A029,3,3,4,1
A030,0,4,0,0
A031,4,4,4,0
A032,4,4,4,0
A033,4,4,4,0
A034,4,4,4,0
A035,3,3,3,0
A036,4,4,4,0
A037,4,4,4,0
A038,4,4,4,1
A039,0,3,3,0
A040,3,3,3,0
A041,3,3,3,0
A042,5,5,5,0
A043,4,4,4,0
A044,4,5,4,1
A045,4,4,4,0
A046,4,4,4,1
A047,4,3,4,0
A048,3,3,3,0
A049,3,5,5,0
A050,4,4,4,0
A051,4,4,4,0
A052,3,3,3,0
A053,4,4,5,0
A054,5,5,5,0
A055,4,4,4,0
A056,5,5,5,0
A057,5,5,5,1
A058,4,4,4,0
A059,5,5,5,0
A060,3,4,4,0
A061,5,5,5,0
A062,4,4,4,0
A063,3,0,3,0
A064,3,4,3,0
A065,5,5,5,0
A066,3,3,3,1
A067,3,3,3,0
A068,3,3,3,1
A069,4,5,5,0
A070,5,5,5,0
A071,4,4,4,0
A072,4,4,3,0
A073,5,5,5,0
A074,4,4,4,0
A075,4,4,4,0
A076,4,4,4,0
A077,5,5,5,0
A078,3,3,3,0
A079,4,4,4,0
A080,4,4,4,0
A081,4,4,4,0
A082,5,5,5,1
A083,5,4,5,0
A084,5,4,4,1
A085,4,4,4,0
A086,2,2,2,0
A087,4,3,3,0
A088,5,5,5,0
A089,4,4,4,0
A090,4,4,4,0
A091,5,5,5,0
A092,5,4,4,1
A093,4,4,4,0
A094,5,4,4,0
A095,4,4,4,0
A096,5,5,5,0
A097,3,4,3,0
A098,5,5,5,1
A099,4,4,5,0
A100,4,4,4,0
A101,4,4,4,0
A102,4,4,4,0
A103,3,3,3,0
A104,4,4,4,0
A105,4,4,4,0
A106,4,4,4,0
A107,4,4,4,0
A108,4,4,4,0
A109,4,4,4,0
A110,4,4,4,0
A111,5,5,5,0
A112,5,5,5,0
A113,4,4,4,1
A114,5,5,5,0
A115,5,5,5,0
A116,3,3,3,0
A117,4,4,4,0
A118,5,5,5,0
A119,2,2,2,0
A120,3,4,4,0
A121,4,4,4,0
A122,4,3,4,0
A123,4,4,4,0
A124,3,3,3,0
A125,4,4,5,0
A126,4,4,3,0
A127,4,4,4,0
A128,3,3,3,0
A129,3,3,4,0
A130,4,4,4,1
A131,5,5,5,0
A132,4,4,4,0
A133,5,4,4,0
A134,2,2,2,1
A135,4,4,4,0
A136,4,4,4,0
A137,4,4,4,0
A138,3,3,3,0
A139,4,4,4,0
A140,3,4,4,0
A141,5,5,5,0
A142,4,4,4,0
A143,4,5,5,1
A144,4,4,4,0
A145,3,3,3,0
A146,5,5,5,0
A147,3,3,3,0
A148,4,4,4,1
A149,4,4,4,0
A150,4,4,4,0
A151,4,4,4,1
A152,3,3,3,0
A153,5,5,5,0
A154,4,4,4,0
A155,4,4,4,0
A156,4,4,4,0
A157,4,4,4,0
A158,5,5,5,0
A159,4,4,4,0
A160,5,5,5,0
A161,4,4,4,0
A162,3,3,3,0
A163,4,4,4,0
A164,5,5,5,1
A165,4,4,4,0
A166,3,4,3,1
A167,5,5,5,0
A168,4,4,4,0
A169,4,4,4,0
A170,4,4,4,0
A171,4,4,4,0
A172,3,4,4,0
A173,4,4,4,0
A174,4,4,4,0
A175,5,5,5,1
A176,4,4,4,1
A177,5,5,5,0
A178,3,3,3,0
A179,4,4,4,0
A180,4,4,4,0
A181,5,5,5,0
A182,4,4,4,0
A183,4,3,4,0
A184,5,5,5,0
A185,5,5,5,0
A186,5,5,5,0
A187,0,3,0,1
A188,4,4,4,1
A189,3,3,4,0
A190,3,3,3,0
A191,4,4,4,0
A192,4,4,4,1
A193,4,4,4,0
A194,3,4,4,0
A195,5,5,5,0
A196,4,4,4,0
A197,3,4,4,0
A198,4,3,3,0
A199,5,5,5,0
A200,3,4,3,1
A201,4,4,4,0
A202,5,5,5,0
A203,4,4,4,0
A204,4,4,5,1
A205,3,3,3,1
A206,4,4,4,0
A207,4,4,4,0
A208,4,4,4,0
A209,3,4,3,0
A210,5,5,5,0
A211,4,4,4,0
A212,4,4,4,0
A213,3,3,3,0
A214,4,4,4,0
A215,5,5,5,0
A216,4,4,4,0
A217,4,4,4,0
A218,3,3,3,0
A219,5,5,5,1
A220,4,4,4,0
A221,4,4,4,0
A222,4,3,3,0
A223,3,3,3,0
A224,4,4,4,0
A225,4,4,4,1
A226,3,3,4,1
A227,5,5,5,0
A228,3,3,3,0
A229,5,5,5,0
A230,4,4,4,1
A231,5,5,5,0
A232,5,5,5,0
A233,4,4,4,0
A234,2,2,2,0
A235,4,4,4,0
A236,4,4,4,0
A237,4,4,4,0
A238,5,5,5,1
A239,4,4,4,0
A240,4,4,4,0
A241,4,4,4,0
A242,3,4,4,0
A243,5,5,5,0
A244,3,3,3,0
A245,4,4,4,0
A246,4,4,4,0
A247,5,5,5,0
A248,4,4,4,0
A249,4,4,4,0
A250,4,4,4,0
A251,4,4,3,0
A252,4,4,4,0
A253,4,4,4,0
A254,5,5,5,0
A255,5,5,5,0
A256,5,5,5,0
A257,5,4,4,0
A258,4,4,4,0
A259,3,4,4,0
A260,4,4,4,1
A261,4,4,4,0
A262,3,3,3,0
A263,5,5,5,0
A264,4,4,4,1
A265,4,4,4,0
A266,5,5,5,0
A267,4,4,4,0
A268,4,4,4,0
A269,4,4,4,0
A270,4,4,4,0
A271,5,5,5,1
A272,5,5,5,0
A273,4,4,4,0
A274,4,4,4,0
A275,4,4,4,0
A276,4,3,4,0
A277,3,4,4,0
A278,4,4,4,0
A279,3,4,4,0
A280,5,4,4,0
A281,4,4,4,0
A282,5,4,4,0
A283,4,4,4,0
A284,4,3,3,0
A285,4,4,4,0
A286,4,4,4,0
A287,4,5,5,0
A288,4,4,4,0
A289,4,4,4,0
A290,3,3,3,0
A291,4,4,4,0
A292,4,4,4,0
A293,3,3,3,0
A294,3,4,4,0
A295,5,5,5,0
A296,5,5,5,0
A297,4,4,4,0
A298,4,4,4,0
A299,5,5,5,0
A300,4,4,4,0
A301,4,4,4,0
A302,4,4,4,0
A303,3,4,4,0
A304,4,4,4,0
A305,4,4,4,0
A306,5,5,5,0
A307,4,4,4,1
A308,5,5,5,0
A309,4,4,4,0
A310,3,3,3,0
A311,4,4,4,0
A312,3,4,4,0
A313,4,4,4,0
A314,3,4,4,0
A315,4,4,4,0
A316,3,4,4,0
A317,3,3,3,0
A318,5,5,5,0
A319,4,4,4,0
A320,5,5,5,0
A321,5,5,5,0
A322,3,4,4,0
A323,3,4,4,0
A324,4,4,4,0
A325,4,5,5,0
A326,4,4,4,0
A327,3,3,3,0
A328,4,4,4,0
A329,5,5,5,0
A330,3,3,3,0
A331,4,4,4,1
A332,5,4,4,0
A333,4,4,4,0
A334,5,5,5,0
A335,4,4,4,0
A336,2,2,2,0
A337,4,4,4,0
A338,3,3,4,0
A339,3,5,5,0
A340,4,5,4,0
A341,4,4,4,0
A342,3,3,4,0
A343,3,3,3,0
A344,5,5,5,0
A345,4,3,4,1
A346,4,4,4,0
A347,3,3,3,0
A348,5,5,5,0
A349,4,4,4,0
A350,3,4,4,0
A351,3,4,4,0
A352,4,4,4,0
A353,2,3,3,0
A354,4,4,4,0
A355,4,4,4,0
A356,3,3,3,0
A357,3,3,3,0
A358,4,3,3,0
A359,5,5,4,0
A360,3,4,4,0
A361,1,1,3,0
A362,3,3,3,0
A363,4,3,3,0
