name,Watch birds,Read books on animals,Read books on plants,Watch grass change,Find bottles and cans,Look up strange animal or plant,Watch animal move,Look in sidewalk cracks,Learn weed names,Listen to bird sing,Find where animal lives,Go to museum,Grow garden,Look at pictures of plants,Read animal stories,Make a map,Watch what animals eat,Go on picnic,Go to zoo,Watch bugs,Watch bird make nest,Find out what animals eat,Watch a rat,Find out what flowers live on,Talk w/friends about plants,Profile
A01,1,2,1,1,1,0,2,0,1,2,2,2,2,0,2,1,1,2,2,0,2,1,0,2,0,1
A02,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
A03,2,2,1,1,0,1,1,0,1,2,2,2,2,1,2,2,1,2,2,1,2,1,1,1,1,1
A04,1,0,1,0,0,1,0,1,2,2,1,2,2,1,1,1,1,2,2,0,2,1,1,1,1,1
A05,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,2,2,1,1,1,1,1,0,0
A06,1,0,1,1,2,1,1,0,1,1,1,2,1,0,1,0,1,2,2,1,0,1,2,1,0,1
A07,2,2,2,0,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
A08,2,2,1,0,0,2,1,0,2,2,2,2,2,0,2,0,1,2,2,0,2,2,0,2,2,1
A09,0,1,1,0,1,0,0,1,1,2,1,2,2,0,0,1,1,2,1,1,2,0,2,1,1,1
A10,2,1,0,0,0,1,0,1,2,2,2,2,1,1,2,1,1,2,2,0,1,1,0,2,1,1
A11,2,2,2,0,0,1,1,1,0,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,1
A12,0,1,0,0,2,2,0,1,0,1,2,1,0,0,1,1,0,2,1,0,0,0,1,0,1,1
A13,1,2,1,1,0,0,0,1,0,2,1,2,1,1,2,1,1,2,2,1,1,1,0,0,0,1
A14,2,1,1,0,0,2,0,2,1,2,0,2,2,1,0,0,0,2,2,0,0,0,1,2,0,0
A15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0
A16,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,2,2,0
A17,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0
A18,2,2,2,2,0,2,1,0,2,2,2,2,2,2,2,1,2,2,2,1,2,2,0,2,2,1
A19,2,2,2,1,0,1,1,0,0,2,2,2,2,2,1,1,1,2,2,0,2,0,0,2,2,1
A20,1,1,0,0,0,1,0,0,0,2,1,2,2,2,1,2,1,2,2,0,2,0,0,2,2,1
A21,1,1,1,1,0,1,1,1,1,2,1,2,2,1,1,1,1,2,2,0,2,1,0,1,1,1
A22,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1,2,1,1,2,1,0
A23,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,1,2,2,1
A24,1,2,2,1,0,1,2,1,0,2,2,2,2,1,1,0,1,2,2,0,2,1,0,2,2,0
A25,2,2,2,1,1,2,0,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,0,2,2,0
A26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A27,1,1,1,0,0,1,1,1,0,1,1,2,2,1,1,1,0,2,2,1,2,0,2,2,1,1
A28,2,2,1,1,1,0,2,0,0,2,1,2,2,1,2,1,0,2,2,0,1,2,0,1,1,1
A29,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,2,2,1,1,0,2,0,0,1
A30,1,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,2,2,0,1,2,1,0,0,0
A31,2,2,1,1,0,1,1,1,1,2,2,2,1,0,1,1,1,2,2,1,2,1,1,1,1,1
A32,1,2,1,0,0,1,0,0,1,1,2,2,2,1,1,0,1,2,1,0,2,2,0,2,1,1
A33,2,2,1,2,0,2,1,2,1,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,1,0
A34,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0
A35,1,1,1,0,2,1,1,0,1,1,1,2,2,1,1,1,1,2,2,0,1,1,1,1,1,1
A36,1,1,1,0,2,0,1,0,0,1,1,2,2,1,1,1,1,2,2,0,1,1,1,1,1,1
A37,1,2,1,0,0,1,0,0,1,2,1,2,2,1,1,1,1,2,2,0,1,2,0,2,1,1
A38,2,2,1,1,0,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,1,1
A39,2,2,2,1,0,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,0,2,2,1
A40,2,2,2,1,0,1,1,0,2,2,2,2,2,2,2,1,2,2,2,1,2,2,0,2,2,1
A41,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0
A42,2,1,2,1,0,1,1,1,1,2,1,2,2,2,2,1,1,2,2,0,1,1,0,2,1,0
A43,2,2,2,0,1,1,2,0,2,2,2,2,2,1,2,1,2,2,2,0,2,2,0,2,1,1
A44,1,2,1,0,0,2,1,0,1,2,2,1,2,2,1,1,0,2,2,0,1,1,0,2,1,1
A45,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0
A46,2,2,0,0,0,2,0,0,0,2,2,2,2,0,0,0,2,2,2,1,2,2,0,1,0,1
A47,1,1,1,0,2,2,0,1,1,2,2,1,2,1,1,1,0,2,2,0,1,0,0,0,0,1
A48,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,0,2,2,1
A49,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,2,1,1,1,1,1,1,2,1,0,1
A50,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1
A51,1,2,1,0,0,2,1,0,2,2,2,2,2,2,2,1,1,2,2,0,2,1,0,2,2,1
A52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1
A53,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,2,1,0,1,0,0,0,0,1
A54,1,1,1,1,0,2,1,1,2,1,1,2,2,1,1,2,1,2,2,0,2,1,0,1,1,1
A55,1,0,1,0,0,1,0,0,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,0,1
A56,2,2,2,1,0,1,2,0,1,2,2,2,2,2,2,2,2,2,2,1,2,2,0,2,2,1
A57,2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,0
A58,1,2,2,1,0,1,0,1,2,2,2,2,2,2,2,1,2,2,2,0,2,1,0,2,1,0
A59,2,2,2,1,0,2,1,1,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,0
A60,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,0,2,1,1
A61,2,1,1,1,0,1,0,0,2,2,1,2,2,1,1,1,1,2,2,0,1,1,0,2,2,1
A62,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2,0,2,0,0,0,0,1
A63,1,2,1,1,0,1,0,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,0,1,0,1
A64,2,2,1,0,0,2,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,0,1,1,1
A65,1,2,1,1,2,1,1,0,0,2,2,2,2,0,1,2,1,2,2,1,2,1,2,0,0,1
A66,1,2,0,1,0,1,0,0,1,2,2,2,2,1,2,0,2,2,2,0,2,2,0,2,1,1
A67,1,2,1,1,0,0,1,0,0,1,2,1,2,1,2,1,2,2,2,1,2,1,0,1,2,0
A68,1,2,0,0,0,1,0,1,0,2,1,2,0,1,2,0,0,2,2,0,0,1,0,1,0,1
A69,1,2,1,0,0,1,0,1,2,2,2,2,2,1,2,2,2,2,2,0,2,1,0,2,1,1
A70,2,2,2,2,0,2,2,0,1,2,2,2,2,1,2,2,2,2,2,0,2,2,0,2,1,1
A71,2,2,0,1,2,2,2,0,0,1,2,2,0,0,2,2,2,2,0,2,2,2,2,0,1,1
A72,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,2,1,2,0,0,2,0,1,1
A73,2,0,1,2,0,1,0,1,2,2,2,1,0,2,0,1,1,0,2,2,0,2,0,2,2,1
A74,2,2,2,0,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,0,1,2,1
A75,1,2,0,0,1,1,0,1,1,2,1,2,2,2,2,1,0,2,2,0,2,0,0,1,0,1
