PT,LA
"Lin, Hung-Jung(Taiwan)","Guo, How-Ran(Taiwan)"
"Foo, Ning-Ping(Taiwan)","Guo, How-Ran(Taiwan)"
"Huang, Chien-Cheng(Taiwan)","Guo, How-Ran(Taiwan)"
"Yeh, Steve Ting-Yuan(Taiwan)","Chang, Mei-Chi(Taiwan)"
"Hu, Keng-Wei(Taiwan)","Foo, Ning-Ping(Taiwan)"
"Lin, Pei-Chen(Taiwan)","Chen, Kuo-Tai(Taiwan)"
"Hsu, Chien-Chin(Taiwan)","Lin, Hung-Jung(Taiwan)"
"Chio, Chung-Ching(Taiwan)","Hsu, Chien-Chin(Taiwan)"
"Lee, Hsin-Ling(Taiwan)","Guo, How-Ran(Taiwan)"
"Huang, Chien-Cheng(Taiwan)","Hsu, Chien-Chin(Taiwan)"
"Zhang, Pei-, I(Taiwan)","Huang, Chien-Cheng(Taiwan)"
"Huang, Chien-Cheng(Taiwan)","Guo, How-Ran(Taiwan)"
"Kuo, Jinn-Rung(Taiwan)","Chio, Chung-Ching(Taiwan)"
"Chang, Chin-Hong(Taiwan)","Cheng, Juei-Tang(Taiwan)"
"Kuo, Wan-Yin(Taiwan)","Hsu, Chien-Chin(Taiwan)"
"Lin, Hung-Jung(Taiwan)","Chang, Ching-Ping(Taiwan)"
"Foo, Ning-Ping(Taiwan)","Guo, How-Ran(Taiwan)"
"Huang, Chien-Cheng(Taiwan)","Hsu, Chien-Chin(Taiwan)"
"Ng, Chip-Jin(Taiwan)","Chen, Jih-Chang(Taiwan)"
"Chang, Ching-Ping(Taiwan)","Lin, Kao-Chang(Taiwan)"
"Wu, Chen-Long(Taiwan)","Guo, How-Ran(Taiwan)"
"Cheng, Yung-Ze(Taiwan)","Cheng, Juei-Tang(Taiwan)"
"Yeh, Ching-Hua(Taiwan)","Cheng, Juei-Tang(Taiwan)"
"Hsieh, Chun-Fu(Taiwan)","Te, Antonio Leo(Taiwan)"
"Kao, Yuan(Taiwan)","Huang, Chien-Cheng(Taiwan)"
"Lin, Willie(Taiwan)","Chang, Ching-Ping(Taiwan)"
"Chen, Zhih-Cherng(Taiwan)","Cheng, Juei-Tang(Taiwan)"
"Liu, Ying-Ling(Taiwan)","Huang, Chien-Cheng(Taiwan)"
"Liao, Yu-Ying(Taiwan)","Chen, Kuo-Tai(Taiwan)"
"Huang, Chien-Cheng(Taiwan)","Guo, How-Ran(Taiwan)"
"Huang, Hung-Sheng(Taiwan)","Lin, Hung-Jung(Taiwan)"
"Hsieh, Fang-I(Taiwan)","Lien, Li-Ming(Taiwan)"
"Zou, Jian-Fang(China)","Guo, How-Ran(Taiwan)"
"Huang, Chien-Cheng(Taiwan)","Su, Shih-Bin(Taiwan)"
"Ou, Tsong-Yih(Taiwan)","Huang, Chung-Chien(Taiwan)"
"Hsu, Chien-Chin(Taiwan)","Lin, Hung-Jung(Taiwan)"
"Chung, Jui-Yuan(Taiwan)","Huang, Chien-Cheng(Taiwan)"
"Huang, Chien-Cheng(Taiwan)","Guo, How-Ran(Taiwan)"
"Chung, Jui-Yuan(Taiwan)","Huang, Chien-Cheng(Taiwan)"
"Weng, Tzu-Chieh(Taiwan)","Lin, Hung-Jung(Taiwan)"
"Huang, Chien-Cheng(Taiwan)","Guo, How-Ran(Taiwan)"
"Chien, Tsair-Wei(Taiwan)","Chien, Tsair-Wei(Taiwan)"
"Chung, Min-Hsien(Taiwan)","Guo, How-Ran(Taiwan)"
"Lin, Hung(Taiwan)","Tsai, Cheng-Chia(Taiwan)"
"Wang, Che-Chuan(Taiwan)","Kuo, Jinn-Rung(Taiwan)"
"Kao, Pei-Hsin(Taiwan)","Huang, Chien-Cheng(Taiwan)"
"Huang, Chien-Cheng(Taiwan)","Huang, Chien-Cheng(Taiwan)"
"Huang, Chien-Cheng(Taiwan)","Lin, Hung-Jung(Taiwan)"
"Chang, Cheng-Kuei(Taiwan)","Lin, Mao-Tsun(Taiwan)"
"Tan, Tian-Hoe(Taiwan)","Huang, Chien-Cheng(Taiwan)"
"Chen, Yen-ting(Taiwan)","Juan, Chi-Wen(Taiwan)"
"Lin, Blossom Yen-Ju(Taiwan)","Lin, Cheng-Chieh(Taiwan)"
"Huang, Chien-Chia(Taiwan)","Chen, Pi-Ching(Taiwan)"
"Lin, Hong-Yue(Taiwan)","Guo, How-Ran(Taiwan)"
"Chou, Willy(Taiwan)","Huang, Chien-Cheng(Taiwan)"
"Chan, Feng-Kai(Taiwan)","Weng, Shih-Feng(Taiwan)"
"Ke, Ya-Ting(Taiwan)","Huang, Chien-Cheng(Taiwan)"
"Ke, Ya-Ting(Taiwan)","Huang, Chien-Cheng(Taiwan)"
"Kuo, Shu-Chun(Taiwan)","Lin, Chian-Shiung(Taiwan)"
"Chen, You-Ming(Taiwan)","Huang, Chien-Cheng(Taiwan)"
"Huang, Chien-Cheng(Taiwan)","Guo, How-Ran(Taiwan)"
"Chung, Jui-Yuan(Taiwan)","Huang, Chien-Cheng(Taiwan)"
