ID,Wolfe EW,Andrich D,Bezruczko N,Smith EV Jr,Fisher WP Jr,Myford CM,Perkins K,Song T,Luo G,Skaggs G,Chen SP,Coulter WA,Markward NJ,Styles I,Brown SW,Bryden A,Burton EC,Donahue ML,Dupeyrat C,Humphry SM,Profile
Wolfe EW,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrich D,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bezruczko N,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smith EV Jr,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fisher WP Jr,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myford CM,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perkins K,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Song T,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Luo G,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Skaggs G,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Chen SP,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
Coulter WA,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
Markward NJ,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
Styles I,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
Brown SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
Bryden A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
Burton EC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
Donahue ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
Dupeyrat C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Humphry SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
