ID,John M Linacre,Wright B D,Fisher W,Smith R,W P Fisher Jr,Stefanie A Wind,David Andrich,Tsair Wei Chien,Leigh M Harrell Williams,William P Fisher Jr,Engelhard G Jr,N Djaja,Yang Shao,K D Royal,C Olsen,M Lybarger,Smith E V,Sonia Sappl,Bock RD,K S Akers,Profile
John M Linacre,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Wright B D,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fisher W,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smith R,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
W P Fisher Jr,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Stefanie A Wind,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
David Andrich,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tsair Wei Chien,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0
Leigh M Harrell Williams,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
William P Fisher Jr,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
Engelhard G Jr,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
N Djaja,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1
Yang Shao,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1
K D Royal,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1
C Olsen,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1
M Lybarger,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1
Smith E V,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Sonia Sappl,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Bock RD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
K S Akers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
