ID,John M. Linacre,G. Engelhard,Wright B.D,Tsair-Wei Chien,George Engelhard Jr,Kenneth Royal,M.H. Stone,William P. Fisher Jr,David Andrich,F Hong,J. Wang,John A. Stahl,K.D. Royal,M. Lybarger,M. Stone,S.A. Wind,Sonia Sappl,Yang Shao,A. J. Stenner,A. Tennant,Profile
John M. Linacre,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
G. Engelhard,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Wright B.D,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tsair-Wei Chien,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
George Engelhard Jr,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenneth Royal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.H. Stone,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William P. Fisher Jr,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
David Andrich,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
F Hong,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
J. Wang,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
John A. Stahl,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
K.D. Royal,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
M. Lybarger,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
M. Stone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
S.A. Wind,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Sonia Sappl,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Yang Shao,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
A. J. Stenner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
A. Tennant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
